,Graph_Name,Best_RQAOA,Approx_Ratio,Gurobi_Energy,Energy_GAP
265,12d_26n_bimodaldist_6793349959139955178seed_17,124.0,0.9393939393939394,132.0,0.0
266,12d_26n_bimodaldist_3376891284425553144seed_18,116.0,0.935483870967742,124.0,0.0
267,12d_26n_bimodaldist_6937873867604534504seed_23,108.0,0.9310344827586208,116.0,0.0
268,12d_26n_bimodaldist_7111045034930161341seed_24,124.0,0.9393939393939394,132.0,0.0
269,12d_27n_bimodaldist_8696602587889147779seed_2,120.0,0.8333333333333334,144.0,0.0
270,12d_27n_bimodaldist_6080904689407578094seed_7,120.0,0.9375,128.0,0.0
271,12d_27n_bimodaldist_1447174997875440563seed_9,112.0,0.875,128.0,0.0
272,12d_27n_bimodaldist_810168264511027582seed_11,112.0,0.9333333333333332,120.0,0.0
273,12d_27n_bimodaldist_5773650918987452716seed_16,120.0,0.9375,128.0,0.0
274,12d_27n_bimodaldist_6742607657633920830seed_19,112.0,0.9333333333333332,120.0,0.0
275,12d_27n_bimodaldist_4167739409092900659seed_21,120.0,0.9375,128.0,0.0
276,12d_27n_bimodaldist_1585589125269019265seed_23,120.0,0.9375,128.0,0.0
277,12d_28n_bimodaldist_1094522341959066250seed_1,132.0,0.9428571428571428,140.0,0.0
278,12d_28n_bimodaldist_4119610079651453765seed_5,116.0,0.8787878787878788,132.0,0.0
279,12d_28n_bimodaldist_3756187722281481439seed_6,116.0,0.935483870967742,124.0,0.0
280,12d_28n_bimodaldist_8275628728328496778seed_10,132.0,0.9428571428571428,140.0,0.0
281,12d_28n_bimodaldist_6790524155604830221seed_13,116.0,0.8787878787878788,132.0,0.0
282,12d_28n_bimodaldist_3890115763125955625seed_20,116.0,0.935483870967742,124.0,0.0
283,12d_29n_bimodaldist_1815884144787045601seed_3,124.0,0.8857142857142857,140.0,0.0
284,12d_29n_bimodaldist_1325446139716289143seed_8,124.0,0.8857142857142857,140.0,0.0
285,12d_29n_bimodaldist_102749198019846797seed_16,124.0,0.9393939393939394,132.0,0.0
286,12d_29n_bimodaldist_2726465586003023653seed_18,132.0,0.9428571428571428,140.0,0.0
287,12d_29n_bimodaldist_2110709182740008118seed_19,124.0,0.9393939393939394,132.0,0.0
288,12d_29n_bimodaldist_6755500877190507534seed_21,140.0,0.945945945945946,148.0,0.0
289,12d_29n_bimodaldist_7209954315677856719seed_23,124.0,0.9393939393939394,132.0,0.0
290,12d_30n_bimodaldist_3865943198746849059seed_1,136.0,0.9444444444444444,144.0,0.0
291,12d_30n_bimodaldist_8694408450463429908seed_6,136.0,0.9444444444444444,144.0,0.0
